experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000171.JPG,0.6252395731295471,[0.9405826  0.86867417 0.85274137 0.36896227 0.35474672 0.36573031],0.12408875243405934,0.2301785467114975,5.775257110595703,730,183
independent,000163.JPG,0.6048355726670337,[0.9289793  0.92168686 0.89770735 0.32546213 0.33938259 0.21579521],0.11908693488760702,0.2795411884052468,4.9140729904174805,698,175
independent,000159.JPG,0.6217055321430212,[0.92547834 0.9357821  0.9785101  0.31468557 0.32023407 0.25554301],0.11718669436744679,0.21799253400734334,5.069069147109985,695,174
independent,000157.JPG,0.6592983078342854,[0.94945143 0.9259749  0.95022223 0.40511801 0.41361809 0.31140517],0.10064518500429656,0.1915988476523494,5.260555028915405,694,174
matern05_rank1,000171.JPG,0.6682880304687755,[0.96693393 0.9156798  0.89265888 0.4145876  0.40151403 0.41835395],0.1174326023157198,0.1968058403297511,14.480105876922607,730,183
matern05_rank1,000163.JPG,0.7136602534962518,[0.95545168 0.94182026 0.97755475 0.48646816 0.49192138 0.42874529],0.10160676304308386,0.22233193715197413,13.505493879318237,698,175
matern05_rank1,000159.JPG,0.676931605403459,[0.94768585 0.94908198 0.9891639  0.38850696 0.40236784 0.38478311],0.10877570513604008,0.18057200136277185,12.842896938323975,695,174
matern05_rank1,000157.JPG,0.7171180946941152,[0.96561904 0.94393112 0.96800631 0.48347641 0.49517494 0.44650074],0.09199049304442303,0.17173818093123394,12.7973952293396,694,174
matern05_rank2,000171.JPG,0.6710006160315687,[0.97029142 0.91194041 0.90045036 0.41789108 0.4047185  0.42071193],0.11703220987429795,0.19553258627965747,14.997097969055176,730,183
matern05_rank2,000163.JPG,0.7093925779092481,[0.94332683 0.95031744 0.95892791 0.49767018 0.49509808 0.41101503],0.10230456819095442,0.22482258824828927,13.673976182937622,698,175
matern05_rank2,000159.JPG,0.6795056230557716,[0.9465748  0.95567853 0.98702005 0.40085407 0.40178436 0.38512193],0.10827718169548022,0.17791534898393319,13.352746963500977,695,174
matern05_rank2,000157.JPG,0.7201305383423989,[0.97130018 0.94505527 0.96866543 0.49275752 0.50660491 0.43639993],0.09140993066408763,0.17027611119022457,12.839309215545654,694,174
matern05_rank3,000171.JPG,0.6713948013422617,[0.96523133 0.91171542 0.90848707 0.41717177 0.40373226 0.42203096],0.11695666512789353,0.19183007242045658,15.235151767730713,730,183
matern05_rank3,000163.JPG,0.7101168549900659,[0.94669756 0.94344363 0.95554282 0.49307474 0.49358663 0.42835575],0.10230723153764573,0.2250928199330626,13.812999963760376,698,175
matern05_rank3,000159.JPG,0.6793282938959987,[0.94117231 0.95960553 0.99076397 0.39864348 0.40721341 0.37857106],0.1082798914506244,0.17904204330914875,12.808515071868896,695,174
matern05_rank3,000157.JPG,0.720113738470042,[0.96978618 0.94244165 0.96551314 0.49453977 0.50684407 0.44155763],0.09143576503540027,0.1707841295086726,13.515834093093872,694,174
matern05_rank4,000171.JPG,0.6725394978960176,[0.96517046 0.90860585 0.91939587 0.41631466 0.40390752 0.42184263],0.11682375375098882,0.19080187419315203,14.666914939880371,730,183
matern05_rank4,000163.JPG,0.712917215031144,[0.94078341 0.93670162 0.96165544 0.49873488 0.50174675 0.4378812 ],0.10214747132998667,0.22369426806832027,13.891808986663818,698,175
matern05_rank4,000159.JPG,0.6832995979945582,[0.94646257 0.96019342 0.99065338 0.40277352 0.41009213 0.38962256],0.1076893295932591,0.17657997105417894,13.631448984146118,695,174
matern05_rank4,000157.JPG,0.719592020524639,[0.9662922  0.94855366 0.9617223  0.49765625 0.51168356 0.43164414],0.09138834401187354,0.171041755046143,13.2633216381073,694,174
matern05_rank5,000171.JPG,0.6753861860129825,[0.96423593 0.92378665 0.91626142 0.42070345 0.40442267 0.422907  ],0.11632909155996304,0.18938944229137972,14.493792057037354,730,183
matern05_rank5,000163.JPG,0.710319354634982,[0.95710165 0.93312932 0.94469378 0.50625584 0.48272871 0.43800682],0.10214836983141631,0.22312190529861237,13.969932079315186,698,175
matern05_rank5,000159.JPG,0.6847689108595226,[0.94042474 0.95517673 0.9878422  0.40339702 0.4063513  0.41542149],0.1074763917686056,0.17533984406357542,13.640933275222778,695,174
matern05_rank5,000157.JPG,0.7203940983290787,[0.96947704 0.94255121 0.96473835 0.50627527 0.50199207 0.43733065],0.09133604425391191,0.17155319456033802,13.213252782821655,694,174
matern05_rank6,000171.JPG,0.673310040995463,[0.96520589 0.92579548 0.90367735 0.41909569 0.40329651 0.42278933],0.11663461958003073,0.19004068582293293,14.790284872055054,730,183
matern05_rank6,000163.JPG,0.7093089307135921,[0.95638916 0.93592477 0.93686393 0.4980728  0.49730792 0.43129501],0.10218265868780241,0.22156352964557802,14.134968996047974,698,175
matern05_rank6,000159.JPG,0.6868204580732905,[0.94485008 0.95493199 0.98866797 0.40963847 0.41759071 0.40524353],0.10706556158559695,0.17601150976406993,14.045767068862915,695,174
matern05_rank6,000157.JPG,0.7194556086527922,[0.97024915 0.94229741 0.96474384 0.49961025 0.5086797  0.4311533 ],0.091461226934228,0.17088558142397248,13.587150812149048,694,174
matern15_rank2,000171.JPG,0.6371390812567514,[0.9537007  0.92107365 0.90560087 0.34365152 0.34672182 0.35208593],0.12291598850620626,0.21455952662555416,13.052992105484009,730,183
matern15_rank2,000163.JPG,0.6204937269210271,[0.93050927 0.90675316 0.93964037 0.35408294 0.36916135 0.22281527],0.11697672879893095,0.27554072403641855,12.300179958343506,698,175
matern15_rank2,000159.JPG,0.612364018596721,[0.91406713 0.92447257 0.98294197 0.30198262 0.30689713 0.24382269],0.11860862384131857,0.20226565242549094,12.358180046081543,695,174
matern15_rank2,000157.JPG,0.6517784882538985,[0.94988852 0.9313027  0.96244228 0.38291954 0.40193378 0.28218412],0.10168081821429739,0.18777175691401815,12.259850025177002,694,174
matern15_rank3,000171.JPG,0.6376125340464026,[0.95522937 0.91046118 0.90918408 0.34457118 0.33952463 0.36670477],0.12289608947596489,0.21295662908050889,13.52192211151123,730,183
matern15_rank3,000163.JPG,0.6241136857336312,[0.93329876 0.90799944 0.94392921 0.35326672 0.37349628 0.23269171],0.11641201623321737,0.27563941664472474,12.748314142227173,698,175
matern15_rank3,000159.JPG,0.6109660697413267,[0.91520766 0.92367488 0.98205209 0.29871728 0.30409865 0.24204586],0.11882871158727576,0.20485535109034186,12.593363046646118,695,174
matern15_rank3,000157.JPG,0.6605138927170137,[0.94794925 0.93596234 0.96793578 0.39919517 0.40464871 0.30739211],0.10043550766470173,0.18643432402365326,12.542842864990234,694,174
matern15_rank4,000171.JPG,0.6411259908087249,[0.95223456 0.92391811 0.91449605 0.34769646 0.34013044 0.36828034],0.12234351086796176,0.21787352605602034,14.356418132781982,730,183
matern15_rank4,000163.JPG,0.6249312945760445,[0.93280287 0.90717911 0.9419154  0.35213277 0.37749125 0.23806637],0.11632526359952593,0.27478637184489774,13.53653621673584,698,175
matern15_rank4,000159.JPG,0.6089770469186204,[0.91293134 0.92463766 0.98025233 0.29636009 0.30025226 0.23942861],0.11909817792048746,0.2110501278960465,13.960626125335693,695,174
matern15_rank4,000157.JPG,0.6549443729538559,[0.95048532 0.93658879 0.96309784 0.37145576 0.41936744 0.28867109],0.10122354081844394,0.18580863657491511,13.611265897750854,694,174
matern25_rank2,000171.JPG,0.6294946389025757,[0.95009026 0.90905876 0.888212   0.34626224 0.32973803 0.35360655],0.12401372443793342,0.22389817253057956,13.573874950408936,730,183
matern25_rank2,000163.JPG,0.5963477586115736,[0.92748431 0.8865201  0.94837757 0.30828897 0.32123498 0.18618062],0.12095091552858421,0.288897540802526,12.894752025604248,698,175
matern25_rank2,000159.JPG,0.5992721896375316,[0.90922883 0.91038383 0.97442748 0.28614336 0.28769501 0.22775463],0.12045240518845232,0.21820288964117715,12.822803258895874,695,174
matern25_rank2,000157.JPG,0.6242798718095517,[0.93962148 0.91936113 0.95830173 0.34083652 0.35548492 0.23207344],0.10560795916738601,0.19673269523411396,12.883462905883789,694,174
matern25_rank3,000171.JPG,0.6267370606906361,[0.95061897 0.91473202 0.89052014 0.34630944 0.31858076 0.33966102],0.12450517944984578,0.22621853037388825,14.115869045257568,730,183
matern25_rank3,000163.JPG,0.5911180074639902,[0.92482696 0.88918549 0.9408543  0.29711819 0.31159361 0.18312949],0.12174312967065437,0.2934839811809165,13.370161771774292,698,175
matern25_rank3,000159.JPG,0.5957489706304606,[0.90695872 0.9116194  0.9745735  0.28118996 0.28456517 0.21558708],0.12093908342508332,0.21829055548809406,13.214404106140137,695,174
matern25_rank3,000157.JPG,0.6315165010115605,[0.94354207 0.92323945 0.95625693 0.35303472 0.36266913 0.25035671],0.10463434162555774,0.1920183855936427,13.226571798324585,694,174
matern25_rank4,000171.JPG,0.6275926338442388,[0.95051938 0.91533884 0.89645932 0.3389932  0.3245566  0.33968846],0.1244165344417153,0.22581575044717167,17.362998723983765,730,183
matern25_rank4,000163.JPG,0.5949064170424406,[0.9314858  0.88767694 0.94439385 0.31215579 0.32171112 0.17201501],0.12093968560474079,0.2882231020879602,14.127103090286255,698,175
matern25_rank4,000159.JPG,0.5950839957677767,[0.90696428 0.90944262 0.9741156  0.27990975 0.28390765 0.21616407],0.1210373345533909,0.2230131029554015,14.00458812713623,695,174
matern25_rank4,000157.JPG,0.6270616896000366,[0.93787693 0.92026325 0.95950928 0.34486909 0.36536121 0.23449039],0.10517098096454851,0.1937845560225014,13.743948936462402,694,174
mixed_matern_rank1,000171.JPG,0.6643820234587557,[0.95953889 0.9198829  0.89595467 0.4072508  0.39398872 0.40967617],0.11807305746161864,0.1997097538004724,12.053415775299072,730,183
mixed_matern_rank1,000163.JPG,0.7003786033222043,[0.94210044 0.93698641 0.96434024 0.46981926 0.49006604 0.39895925],0.10410578732736588,0.23421760518723755,11.42942214012146,698,175
mixed_matern_rank1,000159.JPG,0.6706743054553034,[0.94822842 0.95349667 0.9851634  0.38753658 0.39500908 0.35461167],0.10964655069613542,0.1832031782538246,11.29587984085083,695,174
mixed_matern_rank1,000157.JPG,0.7147430988211673,[0.97068453 0.9399835  0.96421355 0.48320533 0.50455841 0.42581326],0.09227823746222216,0.1730092555385394,11.338831901550293,694,174
mixed_matern_rank3,000171.JPG,0.6689465751717303,[0.95545453 0.91551881 0.90915818 0.41388764 0.40005072 0.41960957],0.11728158333767214,0.19682484230262454,13.212937116622925,730,183
mixed_matern_rank3,000163.JPG,0.7021425590105043,[0.94443565 0.92672771 0.94395282 0.4902507  0.49800025 0.40948823],0.10378402384685965,0.2315073991487112,12.5707368850708,698,175
mixed_matern_rank3,000159.JPG,0.6682531440070975,[0.93256778 0.94495802 0.97939907 0.39554461 0.40192122 0.35512816],0.10975564625709726,0.18473414757896317,12.520141839981079,695,174
mixed_matern_rank3,000157.JPG,0.7178792253470138,[0.96689426 0.94013092 0.96329327 0.49559569 0.50322923 0.43813197],0.09177392495393168,0.172498641438804,12.389348983764648,694,174
matern25_wendland_rank3,000171.JPG,0.6711621435767071,[0.96277208 0.92053288 0.90685468 0.41677692 0.40158395 0.41845237],0.1169819351058603,0.19203487086730525,13.923421144485474,730,183
matern25_wendland_rank3,000163.JPG,0.7063162773495323,[0.94505413 0.94187668 0.94264953 0.49408094 0.50303185 0.41120453],0.10280907020338995,0.22320767114432516,13.47004222869873,698,175
matern25_wendland_rank3,000159.JPG,0.6757117685380134,[0.93364262 0.9488703  0.98641253 0.40346977 0.40493437 0.37694102],0.10871429966808366,0.18049106330012263,13.223599195480347,695,174
matern25_wendland_rank3,000157.JPG,0.7156928378830405,[0.95995717 0.94245858 0.96401941 0.48206493 0.50852065 0.43713629],0.09209107447470449,0.17316859907701393,13.067503929138184,694,174
