experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000007.JPG,0.6051411168830966,[0.68815937 0.75980722 0.72831177 0.53339405 0.42226877 0.49890552],0.15193341942495167,0.3424205352596348,2.218376874923706,402,101
independent,000008.JPG,0.5780016009766271,[0.73807111 0.75207665 0.73960729 0.44411185 0.36452167 0.42962104],0.15929697158398887,0.33374348045887103,1.9985249042510986,392,99
independent,000011.JPG,0.6350720980101175,[0.76184701 0.67048027 0.84849653 0.5548457  0.42974363 0.54501945],0.151744463949588,0.3476359545428469,1.9112069606781006,384,96
independent,000009.JPG,0.6075264989821668,[0.77529973 0.78346629 0.79929469 0.4691868  0.35778947 0.46012202],0.14669252387188486,0.29787811106615625,1.8980319499969482,380,95
matern05_rank1,000007.JPG,0.7117459443396578,[0.74130522 0.80493618 0.75875894 0.71712894 0.60016332 0.64818308],0.12803774902597723,0.2417633690574537,5.893902063369751,402,101
matern05_rank1,000008.JPG,0.6716231696245706,[0.78869388 0.77878721 0.77782008 0.60077097 0.52103429 0.56263258],0.13931716094232433,0.24597580776707614,5.607001066207886,392,99
matern05_rank1,000011.JPG,0.6590207612306159,[0.79028969 0.70820691 0.85534792 0.59070142 0.44460605 0.56497258],0.14713536982919445,0.2740449954403572,5.597805023193359,384,96
matern05_rank1,000009.JPG,0.6857094450099709,[0.83908406 0.81970176 0.84213965 0.56146889 0.47475385 0.57710845],0.13134675243314242,0.2322134092131341,5.460215091705322,380,95
matern05_rank2,000007.JPG,0.7099682512929336,[0.720581   0.8018475  0.76280371 0.71452763 0.6060146  0.65403506],0.12817807593323283,0.2468382664559748,6.458672046661377,402,101
matern05_rank2,000008.JPG,0.6702850728167634,[0.77017625 0.78084847 0.78386598 0.59637077 0.52548025 0.56496872],0.1395088154818588,0.24572922512446993,6.303117752075195,392,99
matern05_rank2,000011.JPG,0.6580040246148969,[0.79572302 0.71058328 0.85070198 0.59269015 0.43681286 0.56151287],0.14741183012312292,0.2737846772185617,6.166027069091797,384,96
matern05_rank2,000009.JPG,0.6887958349700246,[0.84269294 0.82189218 0.84565817 0.56166728 0.47883088 0.58203356],0.13077401033901292,0.23063634600039462,6.08806300163269,380,95
matern05_rank3,000007.JPG,0.709778619979347,[0.73491768 0.78877292 0.75815913 0.71094892 0.61146147 0.65441161],0.12816874652476484,0.24445367647437533,6.613974094390869,402,101
matern05_rank3,000008.JPG,0.6746619815301944,[0.77385064 0.7826799  0.78278773 0.60209957 0.53960015 0.5669539 ],0.13849694728126757,0.24264991405062225,6.4347169399261475,392,99
matern05_rank3,000011.JPG,0.6646520151139103,[0.79512175 0.70845093 0.86195217 0.59771641 0.45539655 0.56927428],0.14599409264889857,0.26704328141344574,6.338620185852051,384,96
matern05_rank3,000009.JPG,0.6851828061091617,[0.85117385 0.80221918 0.84181474 0.56114708 0.47303526 0.58170673],0.13121419698331857,0.2338769798315258,6.497818946838379,380,95
matern05_rank4,000007.JPG,0.7164158757914484,[0.74665829 0.79606733 0.76094562 0.72304353 0.61506171 0.65671879],0.12679437385177947,0.24116809203044776,6.909313678741455,402,101
matern05_rank4,000008.JPG,0.6804127249381505,[0.79510006 0.78009891 0.78010988 0.60694007 0.5428807  0.57734674],0.13721319375132537,0.23676251013437344,6.822799921035767,392,99
