experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000045.JPG,0.8284057984677332,[0.99696856 0.98965517 0.99828921 0.73899068 0.65542746 0.59110372],0.1107115165320087,0.2064749905670919,32.8773558139801,1954,489
independent,000043.JPG,0.8386261319089932,[0.99478895 0.98086592 0.9982469  0.74850072 0.68639882 0.62295548],0.10719974500037409,0.2009181931271235,31.281862020492554,1912,479
independent,000044.JPG,0.837551297944235,[0.99607347 0.98951153 0.99859552 0.75492118 0.67795838 0.60824771],0.10211675519343114,0.18984461045768547,31.88277006149292,1906,477
independent,000082.JPG,0.7133216611603044,[0.98552151 0.9563074  0.96525095 0.56337698 0.44869416 0.36077897],0.1186998801732304,0.19531048135128734,31.26131510734558,1876,469
matern05_rank1,000045.JPG,0.8490405065717828,[0.99874917 0.99447686 0.99924426 0.76061507 0.70815062 0.63300706],0.10408728052727813,0.18086800162529382,64.93007898330688,1954,489
matern05_rank1,000043.JPG,0.861249971539093,[0.99749928 0.98656555 0.99946431 0.77820125 0.73601922 0.66975023],0.09957782792348824,0.17779105046109428,114.56049084663391,1912,479
matern05_rank1,000044.JPG,0.8531310796906526,[0.99806394 0.9948968  0.99956272 0.7704352  0.71887764 0.63695017],0.0973411004162067,0.16791088258483527,59.67735290527344,1906,477
matern05_rank1,000082.JPG,0.7630338212289917,[0.99308273 0.97660783 0.98693254 0.61248592 0.52898991 0.480104  ],0.10894097455625362,0.1526859303284212,59.16242289543152,1876,469
matern05_rank2,000045.JPG,0.8499794037954214,[0.99878703 0.99408319 0.9996383  0.76311084 0.70574821 0.63850885],0.10375814249978806,0.17801039514086142,66.1724181175232,1954,489
matern05_rank2,000043.JPG,0.8621853008360786,[0.99739651 0.98701834 0.9993618  0.77615446 0.74112681 0.67205389],0.09929317618425106,0.17663427591669248,62.303598165512085,1912,479
matern05_rank2,000044.JPG,0.8539588121105971,[0.9971265  0.99341959 0.99958369 0.77318285 0.72061283 0.63982742],0.09697882697698279,0.16633311446976218,63.13704299926758,1906,477
matern05_rank2,000082.JPG,0.7639858480737544,[0.99652256 0.9765559  0.98774575 0.61516864 0.53108991 0.47683234],0.10874445104439076,0.1515948971674161,59.61508393287659,1876,469
matern05_rank3,000045.JPG,0.8492477808181563,[0.99871301 0.9949298  0.99869306 0.75880941 0.70650183 0.63783958],0.10406227656719606,0.17845292376971778,65.65864586830139,1954,489
matern05_rank3,000043.JPG,0.8615905759643452,[0.99752259 0.98670239 0.9992847  0.77481496 0.74285208 0.66836673],0.09948955537156624,0.1770911084092167,62.21911311149597,1912,479
matern05_rank3,000044.JPG,0.8544227445022928,[0.99825586 0.99496103 0.99957133 0.77335296 0.72161423 0.63878106],0.09689926805529746,0.1660687152207655,63.063719034194946,1906,477
