experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000115.JPG,0.5996970146384396,[0.97632372 0.97587629 0.96875279 0.33026846 0.21688176 0.13007906],0.14444961978605966,0.2846785037660972,9.136580228805542,982,246
independent,000117.JPG,0.6456589549260513,[0.9727226  0.98160791 0.97092178 0.32401727 0.26742848 0.35725568],0.148925233730746,0.29790875251937243,7.327636003494263,865,217
independent,000079.JPG,0.7131067847063385,[0.91019823 0.92850386 0.92869612 0.48059443 0.45095468 0.57969338],0.14172938895180315,0.29598641902156997,6.9841389656066895,833,209
independent,000072.JPG,0.5690446895551605,[0.98011882 0.98333403 0.96535315 0.24509924 0.11744346 0.12291944],0.14870999175360516,0.305532632453319,6.71395206451416,817,205
matern05_rank1,000115.JPG,0.758961784535206,[0.9893066  0.98688719 0.98112056 0.56991362 0.54635306 0.48018968],0.11257824707665576,0.17599690115401614,21.11254906654358,982,246
matern05_rank1,000117.JPG,0.7638333197563004,[0.9855388  0.99186431 0.987701   0.52995541 0.5100622  0.57787818],0.12177887154327177,0.1980453619949606,17.392060041427612,865,217
matern05_rank1,000079.JPG,0.7979956887133475,[0.94822276 0.94535425 0.94088235 0.62945706 0.61242206 0.71163565],0.11914294927312236,0.19613762084776273,16.911603927612305,833,209
matern05_rank1,000072.JPG,0.7364398663922233,[0.99540873 0.9892737  0.97507153 0.54058665 0.46685398 0.4514446 ],0.11626117935343787,0.1822255285139849,15.269001007080078,817,205
matern05_rank2,000115.JPG,0.7585927022332877,[0.9912846  0.98094087 0.97678608 0.56723825 0.54579438 0.48951203],0.11299798703282472,0.17581655016640402,20.46820306777954,982,246
matern05_rank2,000117.JPG,0.7651697743887533,[0.98341205 0.99144406 0.9874244  0.53588856 0.51008441 0.58276516],0.1214331823583645,0.19743790694247376,17.181071043014526,865,217
matern05_rank2,000079.JPG,0.7970660863046707,[0.94084319 0.94456069 0.93921868 0.62955261 0.61552266 0.71269868],0.11925484937063743,0.19286703027156227,16.496733903884888,833,209
matern05_rank2,000072.JPG,0.7348530647028437,[0.99496403 0.98929048 0.97465239 0.54058502 0.46594095 0.44368553],0.1165067295480417,0.18400620809841278,15.750022888183594,817,205
matern05_rank3,000115.JPG,0.7552461757183756,[0.99092136 0.9873401  0.98069903 0.57005514 0.53360685 0.46885457],0.11333817960582561,0.17832860592946576,21.33983278274536,982,246
matern05_rank3,000117.JPG,0.7676386128985561,[0.98853089 0.99112942 0.98698669 0.53731847 0.51442184 0.58744436],0.12086069579768263,0.1954778791102592,17.594364166259766,865,217
matern05_rank3,000079.JPG,0.8014973318030149,[0.94229986 0.94155478 0.93716041 0.64040647 0.62347036 0.72409211],0.11794140717522981,0.1941076924548591,16.435898303985596,833,209
matern05_rank3,000072.JPG,0.7379813818835884,[0.9962998  0.98979757 0.97418739 0.54451764 0.47610311 0.44698278],0.11582392463418972,0.18307923356272926,15.788982152938843,817,205
matern05_rank4,000115.JPG,0.7600972685610117,[0.99196844 0.98842264 0.98086755 0.57528549 0.53605538 0.4879841 ],0.11242991297604772,0.17441809240538136,20.54183602333069,982,246
matern05_rank4,000117.JPG,0.7693013272307819,[0.98524321 0.98966628 0.98578823 0.54289832 0.52188886 0.59032306],0.12040149577268545,0.19266195456534646,17.602215051651,865,217
matern05_rank4,000079.JPG,0.8018146535937967,[0.95466062 0.94115475 0.94030276 0.63633982 0.617949   0.72048096],0.11815516881808556,0.1916826765468394,17.83021092414856,833,209
matern05_rank4,000072.JPG,0.738092568668994,[0.99402175 0.98965946 0.97505978 0.5474203  0.47523295 0.44716117],0.11571136626104005,0.18302533433181567,16.60738706588745,817,205
matern05_rank5,000115.JPG,0.763775486685176,[0.99411829 0.98687339 0.98259032 0.58146738 0.54004272 0.49756082],0.11161654272841647,0.1726583894450027,21.646981239318848,982,246
matern05_rank5,000117.JPG,0.7679321342735594,[0.98569121 0.98900448 0.98605241 0.5375625  0.51958335 0.58969886],0.12080821914143747,0.19279230353807064,18.77084708213806,865,217
matern05_rank5,000079.JPG,0.801656830806261,[0.9432889  0.94423818 0.93515227 0.63896802 0.62922079 0.71907282],0.11785013568294982,0.19191050075571173,17.0870840549469,833,209
matern05_rank5,000072.JPG,0.7377463368212144,[0.99332774 0.98841178 0.97477133 0.54349938 0.47752227 0.44894552],0.11584973846886032,0.18326992554493754,16.45281720161438,817,205
matern05_rank6,000115.JPG,0.7626749554682828,[0.99212705 0.98648008 0.9821777  0.57713025 0.54826532 0.48986934],0.11177309063902378,0.1738589915690646,20.96565294265747,982,246
matern05_rank6,000117.JPG,0.7683541291411454,[0.98573323 0.99009764 0.98448747 0.53904947 0.52188122 0.58887574],0.12067027791541379,0.1936191019027324,18.095643758773804,865,217
matern05_rank6,000079.JPG,0.7988105145296389,[0.95142053 0.94170569 0.93867915 0.63000758 0.61736452 0.71368562],0.11896565296562822,0.19201163042401553,17.116969347000122,833,209
matern05_rank6,000072.JPG,0.7391937866819731,[0.99508357 0.99047225 0.97632895 0.54863918 0.47784694 0.44679183],0.11544263920851186,0.18213403456743227,16.768390893936157,817,205
matern15_rank2,000115.JPG,0.758331494385847,[0.99167066 0.97603975 0.97438046 0.58018262 0.5487123  0.47900318],0.11276468045420071,0.17617687776374824,19.507631063461304,982,246
matern15_rank2,000117.JPG,0.7432384018754202,[0.97647622 0.97921114 0.97530458 0.47755221 0.49370161 0.55718464],0.12732393521411536,0.21432999015860738,16.466490745544434,865,217
matern15_rank2,000079.JPG,0.7888957614585217,[0.92648646 0.92411645 0.92773385 0.63468835 0.61403681 0.70631265],0.1212875882347963,0.20496824371449895,15.743966817855835,833,209
matern15_rank2,000072.JPG,0.6876264290603401,[0.98294769 0.98022691 0.96213274 0.45637058 0.39653333 0.34754733],0.1264102210137037,0.20620465497651402,15.227380990982056,817,205
matern15_rank3,000115.JPG,0.7588880212266339,[0.98614732 0.97243812 0.97448208 0.58776264 0.55230384 0.48019413],0.11243241459369778,0.18439601148329987,20.187306880950928,982,246
matern15_rank3,000117.JPG,0.742001298961318,[0.97714048 0.98049279 0.9611118  0.50168781 0.48390311 0.54767181],0.12739386679623343,0.22639524361831662,16.920695066452026,865,217
matern15_rank3,000079.JPG,0.7879106258995,[0.94308936 0.92606997 0.92689498 0.61883291 0.5995955  0.71298103],0.12202179978247363,0.20069547984825692,16.186895847320557,833,209
matern15_rank3,000072.JPG,0.6706207533842293,[0.98336194 0.95380464 0.96758756 0.46174189 0.40889586 0.24833263],0.12824836810838908,0.21649374991396877,15.453437805175781,817,205
matern15_rank4,000115.JPG,0.771494080818048,[0.98163602 0.96682623 0.97337961 0.62093057 0.58208892 0.50410314],0.1091755738649691,0.1879299438056607,20.845212936401367,982,246
matern15_rank4,000117.JPG,0.7418677844793886,[0.98005827 0.98539312 0.97541571 0.48583336 0.48228042 0.54222583],0.12740939864467302,0.21068762033203103,17.650312185287476,865,217
matern15_rank4,000079.JPG,0.7877670269475905,[0.9400774  0.9225798  0.92988193 0.62547153 0.59303851 0.71555298],0.12203882240738362,0.2086964522905745,17.324310064315796,833,209
matern15_rank4,000072.JPG,0.6729710578185868,[0.97279348 0.98132018 0.96454797 0.4752312  0.39164753 0.25228599],0.12777160820810465,0.2003193862709245,16.37873888015747,817,205
matern25_rank2,000115.JPG,0.7437806896133584,[0.97856176 0.96080674 0.97059841 0.57191961 0.53353976 0.44725785],0.11567629990059249,0.21029095851310525,20.74693512916565,982,246
matern25_rank2,000117.JPG,0.7144040410994422,[0.97454092 0.97531476 0.94119966 0.43945856 0.44010594 0.5158044 ],0.13435665500324925,0.24836171694268974,17.345975160598755,865,217
matern25_rank2,000079.JPG,0.7764920510791603,[0.93336612 0.92161217 0.9061731  0.61094425 0.59806038 0.6887963 ],0.124800722641142,0.2132162241690735,16.474116802215576,833,209
matern25_rank2,000072.JPG,0.6473067670948568,[0.985355   0.97875766 0.96662966 0.39136112 0.28294177 0.27879539],0.1344133349527772,0.20749531913740618,15.797441959381104,817,205
matern25_rank3,000115.JPG,0.7473574895779441,[0.98199237 0.97374794 0.97263596 0.57771587 0.5214361  0.45661671],0.11493157659429802,0.20874372205575845,20.9954731464386,982,246
matern25_rank3,000117.JPG,0.7222311046485932,[0.97768413 0.98095742 0.96326744 0.44695968 0.44008893 0.52442904],0.13242109421582404,0.22802859987120658,17.86511492729187,865,217
matern25_rank3,000079.JPG,0.7816219214352352,[0.93971607 0.92192948 0.92301332 0.6211881  0.57813773 0.70574683],0.12370380635432328,0.2128424254724391,17.069007873535156,833,209
matern25_rank3,000072.JPG,0.6470934844454249,[0.98040868 0.97026683 0.94319357 0.37676793 0.35261178 0.25931212],0.1345376491171668,0.21754091300881576,16.63420796394348,817,205
matern25_rank4,000115.JPG,0.7376825523445166,[0.9844103  0.97613901 0.97379003 0.55792407 0.51929648 0.41453543],0.11680704146515897,0.19857915579322488,22.069686889648438,982,246
matern25_rank4,000117.JPG,0.7157654707217556,[0.98094619 0.98076047 0.97626915 0.44602359 0.40454717 0.50604625],0.13376895235198877,0.21804255175717469,18.593061923980713,865,217
matern25_rank4,000079.JPG,0.7783738729923032,[0.93425311 0.91407162 0.92092681 0.61163432 0.60096196 0.68839541],0.12450618067728254,0.21550286615542213,17.54745101928711,833,209
matern25_rank4,000072.JPG,0.6276012485000577,[0.96426951 0.97884422 0.9601996  0.41969608 0.28453707 0.158061  ],0.13620503427257702,0.20516835930007143,17.228671073913574,817,205
mixed_matern_rank1,000115.JPG,0.768006941099768,[0.98436544 0.98464195 0.97743806 0.60426631 0.55374526 0.50358464],0.11025332625187462,0.18177838341434394,18.82811999320984,982,246
mixed_matern_rank1,000117.JPG,0.7397214169285834,[0.97419846 0.9901452  0.98528407 0.4983741  0.46668704 0.52363962],0.12753539545670883,0.2130933133320445,15.42042875289917,865,217
mixed_matern_rank1,000079.JPG,0.7974083174508362,[0.9420448  0.94325607 0.93101615 0.63296317 0.61825259 0.71691712],0.11907847642679377,0.1984643486298494,14.737722158432007,833,209
mixed_matern_rank1,000072.JPG,0.7310918236623025,[0.99557887 0.98741301 0.97288295 0.53652102 0.46623033 0.42792477],0.11719900595854978,0.18759135793510484,14.282217979431152,817,205
mixed_matern_rank3,000115.JPG,0.758147311088138,[0.99084985 0.98302664 0.97803064 0.56957383 0.54086515 0.48653775],0.1129925461190455,0.17842369109525003,20.53400707244873,982,246
mixed_matern_rank3,000117.JPG,0.7266847658995985,[0.96082809 0.98552745 0.96716234 0.46973927 0.44586019 0.53099127],0.1311036034437561,0.23221589024769787,17.29689884185791,865,217
mixed_matern_rank3,000079.JPG,0.7899236720354189,[0.93144771 0.93153841 0.92447833 0.62927053 0.61469946 0.70810758],0.1210404267534556,0.20730945124269118,16.846116065979004,833,209
mixed_matern_rank3,000072.JPG,0.7309330724112693,[0.99017243 0.98420258 0.96853777 0.53900073 0.46725378 0.43643114],0.11727755083085843,0.19054554738277527,15.961704969406128,817,205
matern25_wendland_rank3,000115.JPG,0.7651917806330709,[0.99271993 0.98613655 0.97698661 0.58747177 0.54966895 0.49816687],0.11127249649844997,0.17826272050366443,21.761056900024414,982,246
matern25_wendland_rank3,000117.JPG,0.715443434877666,[0.98747844 0.98700649 0.98283366 0.45393033 0.41518486 0.46622682],0.1332920977785456,0.21336170860218912,17.817915201187134,865,217
matern25_wendland_rank3,000079.JPG,0.7947165675028695,[0.94850319 0.92644609 0.93521662 0.62882085 0.61354497 0.71576768],0.12019131848190052,0.20415265112216607,16.978779792785645,833,209
matern25_wendland_rank3,000072.JPG,0.7345154549127341,[0.99631384 0.98623691 0.97589735 0.54695438 0.47111912 0.43057114],0.11628114848707101,0.1867018265342869,16.43352222442627,817,205
