experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000094.png,0.7831502215298048,[0.99980827 0.99904753 0.96798373 0.5971214  0.56320661 0.57173379],0.12422049163039246,0.1819953307462371,123.69284510612488,1168,292
independent,000000.png,0.5521026731917672,[0.74393857 0.99638095 0.47748181 0.45251074 0.22440991 0.41789406],0.07629210948863928,0.11042689597522531,181.28038096427917,1104,276
independent,000016.png,0.76880103003974,[0.99928182 0.99808837 0.94422611 0.6203432  0.54711544 0.50375124],0.12312922328500998,0.182173750741827,107.49096488952637,1075,269
independent,000093.png,0.7261413140311275,[0.98048231 0.8670683  0.65038187 0.65491524 0.56381984 0.64018031],0.13238231762836292,0.1617692724775257,137.78958678245544,1065,267
matern05_rank1,000094.png,0.7709297139444407,[0.9991792  0.99908159 0.9644154  0.6001855  0.5199801  0.5427365 ],0.12732836028130795,0.19648765557562325,265.7425808906555,1168,292
matern05_rank1,000000.png,0.5332949076475056,[0.75258962 0.99565431 0.45496626 0.42854123 0.20093626 0.36708177],0.07789717116772725,0.1114056464076486,725.7833349704742,1104,276
matern05_rank1,000016.png,0.7536188146852485,[0.9990967  0.99790068 0.94360963 0.57155309 0.51512511 0.49442767],0.1278100562856916,0.1934665103552508,421.738657951355,1075,269
matern05_rank1,000093.png,0.7070878363183343,[0.98091263 0.85863816 0.58250467 0.62891393 0.56762976 0.62392787],0.13497249456260646,0.18998080719905414,232.040687084198,1065,267
matern05_rank2,000094.png,0.7717354378121213,[0.99891173 0.99899197 0.96601141 0.58211009 0.53547423 0.5489132 ],0.1273572372557318,0.19114130094978177,407.8153269290924,1168,292
matern05_rank2,000000.png,0.5212779408402203,[0.75477947 0.99569179 0.45740794 0.38889013 0.15899672 0.37190161],0.07914048520650573,0.11266546136824362,507.35311913490295,1104,276
matern05_rank2,000016.png,0.7596502242615898,[0.99831413 0.99718522 0.94317081 0.59728421 0.53132364 0.49062334],0.12573866791432003,0.19310009318772103,595.9738800525665,1075,269
matern05_rank2,000093.png,0.7138298413828296,[0.98111842 0.85526278 0.62146323 0.64635517 0.54432079 0.63445866],0.134551136384541,0.18214794438342108,233.86018896102905,1065,267
matern05_rank3,000094.png,0.776680863942897,[0.9989529  0.99858384 0.96812107 0.59468499 0.54281543 0.55692696],0.12596782827561462,0.18581523750195444,328.15003204345703,1168,292
matern05_rank3,000000.png,0.5377661717456643,[0.75303253 0.99564693 0.47204386 0.43238266 0.20355086 0.36994019],0.07764872619058052,0.11173637566743902,782.0690867900848,1104,276
matern05_rank3,000016.png,0.7597665068736278,[0.99888555 0.9919512  0.94355394 0.60641482 0.53010292 0.48769061],0.1254695156925942,0.1942698482538155,245.37793111801147,1075,269
matern05_rank3,000093.png,0.7125309340341092,[0.97637414 0.85841869 0.61733464 0.6391511  0.5614396  0.62246743],0.13459821352106027,0.18332891074270724,265.87731289863586,1065,267
matern05_rank4,000094.png,0.7732566977376601,[0.99930723 0.99655449 0.96666558 0.57982895 0.54788934 0.54929459],0.12698231555010311,0.18713949107245847,287.38381004333496,1168,292
matern05_rank4,000000.png,0.529621707490517,[0.75192835 0.99585219 0.46843482 0.42278105 0.16463634 0.37409748],0.07836921894156335,0.1092153014555373,265.43711590766907,1104,276
matern05_rank4,000016.png,0.7615629654014828,[0.99892864 0.99814239 0.9433815  0.6143888  0.52078631 0.49375014],0.12506083070831467,0.19317603992826632,250.668199300766,1075,269
matern05_rank4,000093.png,0.7148581554431761,[0.97889902 0.86264679 0.61262879 0.65645398 0.55117105 0.6273493 ],0.13367915623176255,0.18163821431007504,246.48628616333008,1065,267
matern05_rank5,000094.png,0.7743980201943655,[0.99910516 0.99804654 0.96690039 0.58828113 0.54290287 0.55115204],0.12660756439134171,0.1888700629024648,4992.229541778564,1168,292
matern05_rank5,000000.png,0.524472241479719,[0.74913595 0.99536535 0.45140545 0.40589084 0.18420955 0.3608263 ],0.0787504490812612,0.11166932707950547,6533.614258289337,1104,276
matern05_rank5,000016.png,0.7593621865118944,[0.99914129 0.99535792 0.94368799 0.60105904 0.5378338  0.47909308],0.12559658171748636,0.19178724401652836,254.44037699699402,1075,269
matern05_rank5,000093.png,0.7202267463624223,[0.97910118 0.86812944 0.64604177 0.65185154 0.55314426 0.6230923 ],0.1338530494827419,0.18531796622975638,256.60461616516113,1065,267
matern05_rank6,000094.png,0.7747066375130469,[0.99947874 0.99863128 0.9632149  0.58327131 0.54668954 0.55695406],0.12647909048163367,0.1883634979148871,302.30683183670044,1168,292
matern05_rank6,000000.png,0.527427551679653,[0.74996812 0.9956597  0.45863827 0.4021547  0.20229832 0.3558462 ],0.07856111215987822,0.111636500990557,276.29020714759827,1104,276
matern05_rank6,000016.png,0.7610292130549046,[0.99826043 0.99700751 0.94198527 0.60752582 0.51805722 0.50333904],0.12537281436582834,0.19501272250547802,263.15035104751587,1075,269
matern05_rank6,000093.png,0.7228004344893052,[0.98078146 0.85717972 0.65074229 0.64926882 0.56936157 0.62946874],0.13300399566164917,0.1829682114553079,261.6892988681793,1065,267
matern15_rank2,000094.png,0.7177970530702208,[0.99901337 0.9974062  0.95254393 0.43828099 0.43377968 0.48575815],0.14185258215635513,0.22729274858125392,295.06919503211975,1168,292
matern15_rank2,000000.png,0.4647577011492616,[ 0.72298807  0.99572309  0.45941671  0.28736876 -0.01491725  0.33796682],0.08436504782283903,0.14861068937871585,270.1615023612976,1104,276
matern15_rank2,000016.png,0.7097417209062683,[0.99806816 0.99158371 0.912622   0.50247629 0.47234685 0.38135331],0.1377874371061335,0.24925412326419577,254.9889669418335,1075,269
matern15_rank2,000093.png,0.6265577465338802,[0.97867635 0.8548484  0.5795659  0.5218944  0.37788583 0.44647559],0.15765029040576525,0.21982494128991778,252.12358498573303,1065,267
matern15_rank3,000094.png,0.7228534313482258,[0.99921566 0.9874383  0.94976875 0.45165563 0.45260849 0.49643376],0.14033521600214785,0.22032392029319645,291.66425132751465,1168,292
matern15_rank3,000000.png,0.48617074222462836,[0.72310042 0.993942   0.42910869 0.23408403 0.18352389 0.35326543],0.08257654524015563,0.13307674312590786,268.790066242218,1104,276
matern15_rank3,000016.png,0.6990418246623245,[0.99376874 0.99172228 0.93274447 0.50086176 0.39178456 0.38336913],0.14086203679938025,0.2470671245452487,258.5920739173889,1075,269
matern15_rank3,000093.png,0.5970625792021313,[0.97740428 0.84910467 0.26957685 0.51275966 0.48923028 0.48429974],0.1527118600986442,0.24567143609722886,257.0549440383911,1065,267
matern15_rank4,000094.png,0.7186134248748316,[0.99475035 0.99751691 0.95584495 0.49547504 0.42632246 0.44177083],0.14117492019011466,0.21546498192437175,307.47199177742004,1168,292
matern15_rank4,000000.png,0.4698634827053095,[0.74268943 0.98784978 0.45691845 0.26854216 0.10390228 0.2592788 ],0.08431020430801675,0.14010228424259852,277.6485629081726,1104,276
matern15_rank4,000016.png,0.71065467647604,[0.96866246 0.98490576 0.93110333 0.54291699 0.40234599 0.43399352],0.13764062699183438,0.2666271493103214,272.23711109161377,1075,269
matern15_rank4,000093.png,0.636299459052092,[0.97475265 0.84398578 0.58122091 0.5569189  0.42186986 0.43904866],0.15381620615670064,0.21856690179675814,268.0176520347595,1065,267
matern25_rank2,000094.png,0.7347870268549183,[0.97994684 0.99692171 0.94361283 0.50299532 0.5274979  0.45774757],0.13670771033492954,0.2686938226795094,311.659991979599,1168,292
matern25_rank2,000000.png,0.5214889435265443,[0.74259803 0.99436965 0.39014429 0.36986525 0.21487471 0.41708173],0.07860726480538797,0.14197918714182395,284.08739399909973,1104,276
matern25_rank2,000016.png,0.7199127694909971,[0.99491864 0.97667732 0.90202609 0.5623273  0.5288308  0.35469648],0.13359297191221092,0.29321301162390184,270.47495126724243,1075,269
matern25_rank2,000093.png,0.45826060382074746,[0.94897303 0.83282206 0.47188292 0.16588819 0.15140816 0.17858926],0.1948244063098198,0.3030478463085341,314.79058623313904,1065,267
matern25_rank3,000094.png,0.7297362980276126,[0.99137619 0.99732215 0.94802484 0.49878927 0.44740329 0.49550205],0.13817805844990802,0.25893003476077137,323.0640330314636,1168,292
matern25_rank3,000000.png,0.5263811577302987,[0.72269281 0.99513819 0.3451816  0.48711983 0.22982595 0.37832855],0.07723637646433205,0.1437324472030682,286.28712916374207,1104,276
matern25_rank3,000016.png,0.7398362792436549,[0.98613248 0.98906327 0.92158161 0.62023802 0.5002386  0.4217637 ],0.12904349181005917,0.2849709761903758,277.92446780204773,1075,269
matern25_rank3,000093.png,0.5866838221795057,[0.95774527 0.73802726 0.51803097 0.50943551 0.45263855 0.34422537],0.15988930660810188,0.2618641715594612,274.3213918209076,1065,267
matern25_rank4,000094.png,0.7346207835619785,[0.99808289 0.99680873 0.94846096 0.55597516 0.39999689 0.50840007],0.1364704249347319,0.2714557286654232,334.4477150440216,1168,292
matern25_rank4,000000.png,0.5085417825595839,[0.72971497 0.97591253 0.24536332 0.44391646 0.21815712 0.43818629],0.07886450200692526,0.15289321569795622,302.05755376815796,1104,276
matern25_rank4,000016.png,0.7294998612758521,[0.99068198 0.99416113 0.87636177 0.56265874 0.52606347 0.42707207],0.1317249949671364,0.28208763152592775,288.91358280181885,1075,269
matern25_rank4,000093.png,0.5689981911042563,[0.96324904 0.66741183 0.45847234 0.50694549 0.44235995 0.3755505 ],0.16047896614492438,0.25962407749883043,2468.957463979721,1065,267
mixed_matern_rank1,000094.png,0.7627500374120656,[0.99956778 0.99880626 0.96026229 0.55827748 0.54782182 0.51176459],0.12983459735925043,0.22480727448046023,277.18940591812134,1168,292
mixed_matern_rank1,000000.png,0.5367157724304633,[0.76196553 0.99457836 0.44377945 0.44756934 0.18913243 0.38326952],0.07744855506557594,0.12920695215121092,248.09746098518372,1104,276
